fichier	I_avant	I_apres	TP_apres	plancher	SNR	dense	NR_dB	gain_dB	limit_dB	coupe_tete	coupe_queue	dur_avant	dur_apres
chiffres/0.m4a	-17.35	-16.01	-3.38	-62.4	50.2	0	0.0	1.81	0.00	0.08	0.06	1.02	1.08
chiffres/1.m4a	-17.89	-16.01	-5.90	-66.3	51.0	0	0.0	2.46	0.00	0.07	0.00	0.91	1.04
chiffres/10.m4a	-25.24	-16.00	-2.83	-56.0	34.5	0	4.0	10.17	0.00	0.00	0.00	0.63	0.83
chiffres/100.m4a	-18.63	-15.98	-2.95	-48.7	35.3	0	0.0	3.25	0.00	0.07	0.09	0.71	0.74
chiffres/1000.m4a	-16.63	-16.01	-2.22	-57.9	45.4	1	0.0	1.41	0.00	0.00	0.00	0.76	0.96
chiffres/1000000.m4a	-15.92	-15.98	-2.88	-48.3	36.2	0	0.0	0.58	0.00	0.11	0.00	0.81	0.90
chiffres/1000000000.m4a	-18.00	-16.03	-3.30	-60.2	45.6	0	0.0	1.63	0.00	0.09	0.15	0.84	0.79
chiffres/11.m4a	-20.65	-16.00	-2.26	-44.8	27.8	0	4.0	5.30	0.00	0.06	0.00	0.89	1.03
chiffres/15.m4a	-19.11	-16.02	-3.06	-45.4	30.4	0	4.0	4.18	0.00	0.09	0.00	0.86	0.97
chiffres/16.m4a	-21.62	-16.00	-2.95	-57.1	39.0	0	0.0	6.06	0.00	0.07	0.00	0.89	1.02
chiffres/2.m4a	-22.63	-16.19	-1.50	-99.3	82.6	0	0.0	8.66	2.32	0.07	0.00	0.60	0.73
chiffres/20.m4a	-16.76	-15.99	-3.43	-92.7	79.6	0	0.0	1.39	0.00	0.01	0.00	0.60	0.79
chiffres/200.m4a	-16.62	-16.01	-5.36	-53.5	41.0	0	0.0	1.74	0.00	0.06	0.00	0.71	0.85
chiffres/3.m4a	-25.07	-16.14	-1.50	-64.1	42.5	0	0.0	9.89	0.69	0.08	0.00	0.76	0.88
chiffres/30.m4a	-18.19	-16.00	-3.56	-56.6	42.3	0	0.0	2.70	0.00	0.09	0.00	0.91	1.02
chiffres/300.m4a	-18.08	-15.98	-5.28	-41.5	27.8	0	4.0	2.32	0.00	0.07	0.05	0.99	1.08
chiffres/31.m4a	-18.79	-16.01	-3.29	-48.8	34.3	0	4.0	3.36	0.00	0.01	0.00	1.15	1.34
chiffres/4.m4a	-26.36	-15.99	-2.05	-65.7	41.7	0	0.0	11.40	0.00	0.00	0.00	0.76	0.96
chiffres/40.m4a	-19.03	-15.99	-4.22	-48.7	33.6	0	4.0	3.73	0.00	0.01	0.00	0.91	1.10
chiffres/400.m4a	-19.98	-16.01	-3.13	-54.7	40.4	0	0.0	4.88	0.00	0.11	0.00	1.02	1.11
chiffres/41.m4a	-19.18	-16.01	-3.01	-46.4	32.5	0	4.0	3.54	0.00	0.00	0.00	1.18	1.37
chiffres/5.m4a	-28.05	-16.11	-1.49	-65.9	41.5	0	0.0	12.98	1.08	0.04	0.00	0.76	0.92
